course,domain,level,keywords
Python Basics,Programming,beginner,python programming coding variables loops functions
Python for Data Science,Data Science,beginner,python data science pandas numpy data analysis
Machine Learning Fundamentals,AI/ML,beginner,machine learning artificial intelligence python regression classification
Deep Learning Basics,AI/ML,intermediate,deep learning neural networks artificial intelligence python
Natural Language Processing,AI/ML,intermediate,nlp natural language processing text python machine learning
Computer Vision Fundamentals,AI/ML,intermediate,computer vision images opencv python machine learning
Data Analysis with Pandas,Data Science,beginner,data analysis pandas python csv data cleaning
SQL and Databases,Database,beginner,sql mysql database queries tables data
Web Development with HTML CSS,Web Development,beginner,html css web development frontend websites
JavaScript Fundamentals,Web Development,beginner,javascript web development programming frontend
C++ Programming,Programming,beginner,c++ programming algorithms object oriented coding
Data Structures and Algorithms,Programming,intermediate,data structures algorithms programming coding complexity
Cloud Computing Basics,Cloud,beginner,cloud computing aws deployment servers technology
Cyber Security Fundamentals,Security,beginner,cyber security networks threats authentication security
Power BI for Beginners,Data Science,beginner,power bi data visualization dashboards analytics
Generative AI Fundamentals,AI/ML,beginner,generative ai llm prompts artificial intelligence machine learning
Recommender Systems,AI/ML,intermediate,recommendation systems similarity machine learning data
Statistics for Data Science,Data Science,beginner,statistics probability data science analysis
Git and GitHub Basics,Tools,beginner,git github version control software development
Cloud Machine Learning,Cloud,intermediate,cloud machine learning deployment python ai
